
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/6/5:1    F670T       sn      SN:HWTC275BAA1D         ready
gpon-onu_1/6/5:2    F670T       sn      SN:ZTEGC433D25A         ready
gpon-onu_1/6/5:3    F670T       sn      SN:HWTC277CFC77         ready
gpon-onu_1/6/5:4    F670T       sn      SN:ZTEGC433DE5C         ready
gpon-onu_1/6/5:5    F670T       sn      SN:ZTEGC4E5FA6C         ready
gpon-onu_1/6/5:6    F670T       sn      SN:ZTEGC440B40A         ready
gpon-onu_1/6/5:7    F670T       sn      SN:ZTEGCCE1A5D3         ready
gpon-onu_1/6/5:8    F670T       sn      SN:ZTEGCE447EB0         ready
gpon-onu_1/6/5:9    F670T       sn      SN:ZTEGD4A85E74         ready
gpon-onu_1/6/5:10   F670T       sn      SN:ZTEGCE4721FD         ready
gpon-onu_1/6/5:11   F670T       sn      SN:ZTEGCF56DFE3         ready
gpon-onu_1/6/5:12   F670T       sn      SN:HWTC0921B4A7         ready
gpon-onu_1/6/5:13   F670T       sn      SN:HWTC9EC94CA3         ready
gpon-onu_1/6/5:14   F670T       sn      SN:ZTEGCE44CA6C         ready
gpon-onu_1/6/5:15   F670T       sn      SN:ZTEGCE48E826         ready
gpon-onu_1/6/5:16   F670T       sn      SN:ZTEGCF2B582B         ready
gpon-onu_1/6/5:17   F670T       sn      SN:ZTEGCE8098EB         ready
gpon-onu_1/6/5:18   F670T       sn      SN:ZTEGCF2B6937         ready
gpon-onu_1/6/5:19   F670T       sn      SN:ZTEGC4EBB1E2         ready
ZXAN#
