
Total mac address : 1520

Mac address      Vlan  Type      Port	                  Vc                      
           
-------------------------------------------------------------------------------
6C:0F:0B:11:B1:C1   100   Dynamic   gpon-onu_1/3/1:1         vport 1  
3C:64:CF:47:8B:3B   100   Dynamic   gpon-onu_1/3/1:2         vport 1  
3C:64:CF:47:8B:73   100   Dynamic   gpon-onu_1/3/1:3         vport 1  
94:04:9C:E8:3B:F5   100   Dynamic   gpon-onu_1/3/1:4         vport 1  
24:12:81:9E:20:89   100   Dynamic   gpon-onu_1/3/2:1         vport 1  
B4:E4:6B:81:A7:E0   100   Dynamic   gpon-onu_1/3/2:2         vport 1  
94:FF:61:06:7C:0B   100   Dynamic   gpon-onu_1/3/2:3         vport 1  
CC:B1:82:B7:EE:35   100   Dynamic   gpon-onu_1/3/2:4         vport 1  
E0:19:54:E5:99:D0   100   Dynamic   gpon-onu_1/3/2:5         vport 1  
F8:64:B8:F0:55:38   100   Dynamic   gpon-onu_1/3/2:6         vport 1  
34:36:54:AD:CB:44   100   Dynamic   gpon-onu_1/3/2:8         vport 1  
FC:40:09:EF:9D:50   100   Dynamic   gpon-onu_1/3/2:9         vport 1  
34:24:3E:24:F1:BE   100   Dynamic   gpon-onu_1/3/2:10        vport 1  
D4:46:49:FA:B1:67   100   Dynamic   gpon-onu_1/3/2:12        vport 1  
94:FF:61:03:50:A4   100   Dynamic   gpon-onu_1/3/2:13        vport 1  
FC:8E:5B:31:00:85   100   Dynamic   gpon-onu_1/3/2:14        vport 1  
E0:19:54:FE:9D:D5   100   Dynamic   gpon-onu_1/3/2:15        vport 1  
A8:74:84:C9:6D:94   100   Dynamic   gpon-onu_1/3/2:16        vport 1  
5C:3A:3D:E6:41:A0   100   Dynamic   gpon-onu_1/3/2:17        vport 1  
28:FF:3E:73:B4:AE   100   Dynamic   gpon-onu_1/3/2:18        vport 1  
5C:3A:3D:F0:31:1A   100   Dynamic   gpon-onu_1/3/2:18        vport 1  
5C:3A:3D:F5:80:A4   100   Dynamic   gpon-onu_1/3/2:19        vport 1  
98:00:6A:8C:B6:EE   100   Dynamic   gpon-onu_1/3/2:20        vport 1  
34:36:54:AE:F0:42   100   Dynamic   gpon-onu_1/3/2:21        vport 1  
34:36:54:A5:6D:7E   100   Dynamic   gpon-onu_1/3/2:22        vport 1  
34:36:54:95:54:C0   100   Dynamic   gpon-onu_1/3/2:23        vport 1  
FC:40:09:F0:89:6C   100   Dynamic   gpon-onu_1/3/2:24        vport 1  
FC:40:09:FB:4B:DB   100   Dynamic   gpon-onu_1/3/2:25        vport 1  
C0:94:AD:22:8D:9F   100   Dynamic   gpon-onu_1/3/2:26        vport 1  
C0:94:AD:22:9F:68   100   Dynamic   gpon-onu_1/3/2:27        vport 1  
08:F6:06:9F:36:8E   100   Dynamic   gpon-onu_1/3/2:28        vport 1  
08:F6:06:C8:A0:4E   100   Dynamic   gpon-onu_1/3/2:29        vport 1  
34:24:3E:23:1A:A6   100   Dynamic   gpon-onu_1/3/2:30        vport 1  
28:77:77:4A:FF:42   100   Dynamic   gpon-onu_1/3/2:31        vport 1  
F4:2D:06:C6:44:2E   100   Dynamic   gpon-onu_1/3/2:32        vport 1  
